unseq,prog_id,obsmode,bvcor,observer,object,ra,dec,bjd,exptime,pmtotal,date-avg,airmass,filename,SNRV
307240,2,HRF_OBJ,20.700379,Delia Volpi,HD42818,94.71167,69.31978000000001,2455467.712324,480.0,18210731.0,2010-09-28T05:05:29.498000,1.396166,/STER/mercator/hermes/20100927/raw/00307240_HRF_OBJ.fits,49.12738543826651
307334,2,HRF_OBJ,20.734246,Delia Volpi,HD42818,94.71167,69.31978000000001,2455468.6356430002,480.0,14871223.0,2010-09-29T03:14:58.745000,1.620742,/STER/mercator/hermes/20100928/raw/00307334_HRF_OBJ.fits,48.979587585033826
307483,2,HRF_OBJ,20.623479999999997,Delia Volpi,HD42818,94.71125,69.31975,2455470.71664,280.0,7671798.0,2010-10-01T05:11:24.523000,1.372358,/STER/mercator/hermes/20100930/raw/00307483_HRF_OBJ.fits,49.1121166312347
307549,2,HRF_OBJ,15.759328,Delia Volpi,HD14055,34.32875,33.847190000000005,2455471.5968830003,230.0,6217180.0,2010-10-02T02:13:04.128000,1.013169,/STER/mercator/hermes/20101001/raw/00307549_HRF_OBJ.fits,49.10193478876367
307624,2,HRF_OBJ,-11.813399,Delia Volpi,HD206826,326.03583,28.74261,2455472.584496,360.0,3005316.0,2010-10-03T01:56:05.602000,1.509473,/STER/mercator/hermes/20101002/raw/00307624_HRF_OBJ.fits,49.10193478876367
307773,2,HRF_OBJ,28.710312,Delia Volpi,HD46300,98.22584,7.3329699999999995,2455473.740652,300.0,11338886.0,2010-10-04T05:46:12.371000,1.123634,/STER/mercator/hermes/20101003/raw/00307773_HRF_OBJ.fits,49.10193478876367
307851,2,HRF_OBJ,-12.360047,Delia Volpi,HD206826,326.03583,28.74261,2455474.507656,250.0,8674819.0,2010-10-05T00:05:33.187000,1.118348,/STER/mercator/hermes/20101004/raw/00307851_HRF_OBJ.fits,49.09175083453431
307944,2,HRF_OBJ,-8.044091,Delia Volpi,HD184006,292.42666,51.72978,2455475.5134650003,170.0,14043976.0,2010-10-06T00:17:51.942000,1.727543,/STER/mercator/hermes/20101005/raw/00307944_HRF_OBJ.fits,49.1121166312347
324941,2,HRF_OBJ,-17.584685,Katrina Exter,HD14055,34.32875,33.847190000000005,2455544.326063,230.0,8127321.0,2010-12-13T19:43:27.005000,1.154084,/STER/mercator/hermes/20101213/raw/00324941_HRF_OBJ.fits,49.70915408654627
325167,2,HRF_OBJ,-19.964208,Katrina Exter,HD14055,34.32875,33.847190000000005,2455549.524735,230.0,11732043.0,2010-12-19T00:30:00.415651,1.238199,/STER/mercator/hermes/20101218/raw/00325167_HRF_OBJ.fits,49.68903299521938
325328,2,HRF_OBJ,-20.879901999999998,Katrina Exter,HD14055,34.32875,33.847190000000005,2455553.3065029997,230.0,8118292.0,2010-12-22T19:16:07.413354,1.135353,/STER/mercator/hermes/20101222/raw/00325328_HRF_OBJ.fits,49.658836071740545
326020,2,HRF_OBJ,22.596291,Steven Bloemen,HD87887,151.98458,-0.37164,2455566.711075,360.0,16165602.0,2011-01-05T04:58:41.540312,1.1583809999999999,/STER/mercator/hermes/20110104/raw/00326020_HRF_OBJ.fits,49.79959839195493
326655,2,HRF_OBJ,21.413763,Steven Bloemen,HD87887,151.98458,-0.37164,2455569.750084,360.0,13918751.0,2011-01-08T05:54:32.489724,1.268155,/STER/mercator/hermes/20110107/raw/00326655_HRF_OBJ.fits,49.69909455915671
326782,2,HRF_OBJ,29.830470000000002,Steven Bloemen,HD118098,203.67333,-0.59583,2455570.805532,140.0,13522290.0,2011-01-09T07:20:22.930135,1.150724,/STER/mercator/hermes/20110108/raw/00326782_HRF_OBJ.fits,49.8196748283246
326887,2,HRF_OBJ,29.850103999999998,Steven Bloemen,HD118098,203.67333,-0.59583,2455571.803857,140.0,16206895.0,2011-01-10T07:17:49.600189,1.15032,/STER/mercator/hermes/20110109/raw/00326887_HRF_OBJ.fits,49.78955713801841
