unseq,stdunseq,stdname,night,stdnight
307614.0,307774.0,HD46300,20101002.0,20101003.0
307620.0,307774.0,HD46300,20101002.0,20101003.0
307630.0,307774.0,HD46300,20101002.0,20101003.0
307631.0,307774.0,HD46300,20101002.0,20101003.0
307632.0,307774.0,HD46300,20101002.0,20101003.0
307633.0,307774.0,HD46300,20101002.0,20101003.0
307634.0,307774.0,HD46300,20101002.0,20101003.0
307635.0,307774.0,HD46300,20101002.0,20101003.0
307638.0,307774.0,HD46300,20101002.0,20101003.0
307639.0,307774.0,HD46300,20101002.0,20101003.0
307640.0,307774.0,HD46300,20101002.0,20101003.0
307825.0,307945.0,HD184006,20101004.0,20101005.0
307826.0,307945.0,HD184006,20101004.0,20101005.0
307827.0,307945.0,HD184006,20101004.0,20101005.0
307828.0,307945.0,HD184006,20101004.0,20101005.0
307858.0,307945.0,HD184006,20101004.0,20101005.0
307859.0,307945.0,HD184006,20101004.0,20101005.0
307865.0,307945.0,HD184006,20101004.0,20101005.0
307866.0,307945.0,HD184006,20101004.0,20101005.0
307868.0,307945.0,HD184006,20101004.0,20101005.0
307880.0,307945.0,HD184006,20101004.0,20101005.0
374008.0,374655.0,HD14055,20110921.0,20110928.0
374009.0,374655.0,HD14055,20110921.0,20110928.0
374010.0,374655.0,HD14055,20110921.0,20110928.0
374013.0,374655.0,HD14055,20110921.0,20110928.0
374014.0,374655.0,HD14055,20110921.0,20110928.0
374015.0,374655.0,HD14055,20110921.0,20110928.0
374016.0,374655.0,HD14055,20110921.0,20110928.0
374017.0,374655.0,HD14055,20110921.0,20110928.0
374018.0,374655.0,HD14055,20110921.0,20110928.0
374019.0,374655.0,HD14055,20110921.0,20110928.0
374020.0,374655.0,HD14055,20110921.0,20110928.0
374021.0,374655.0,HD14055,20110921.0,20110928.0
374022.0,374655.0,HD14055,20110921.0,20110928.0
374023.0,374655.0,HD14055,20110921.0,20110928.0
374024.0,374655.0,HD14055,20110921.0,20110928.0
374025.0,374655.0,HD14055,20110921.0,20110928.0
374026.0,374655.0,HD14055,20110921.0,20110928.0
374027.0,374655.0,HD14055,20110921.0,20110928.0
374028.0,374655.0,HD14055,20110921.0,20110928.0
374029.0,374655.0,HD14055,20110921.0,20110928.0
374030.0,374655.0,HD14055,20110921.0,20110928.0
374032.0,374655.0,HD14055,20110921.0,20110928.0
374033.0,374655.0,HD14055,20110921.0,20110928.0
